id,name,team,Salary,Salary.1,Salary.2,Salary.3,Salary.4,Salary.5,Unnamed: 9,-additional,Note
308,Jared Butler,PHI,$2349578,,,,,,,butleja02,"['2025-26 is a team option', 'Signed 2-yr minimum contract February 13, 2025']"
309,Brandon Boston Jr.,NOP,$2349578,,,,,,,bostobr01,"['Signed 2-yr contract February 27, 2025']"
310,Neemias Queta,BOS,$2349578,$2667944,,,,,,quetane01,"['Signed 3-yr/$7M contract July 6, 2024 /2025-26 and 2026-27 are partially guaranteed']"
311,Vit Krejci,ATL,$2349578,$2667944,$3005085,,,,,krejcvi01,"['2027-28 is a team option', 'Signed 4-yr/$10', '2M contract July 12, 2024']"
312,Keon Ellis,SAC,$2301587,,,,,,$2301587,elliske01,"['Option exercised June 29, 2025', '2024-25 is non-guaranteed and 2025-26 is a team option', 'Signed 3-yr/$5', '5M contract February 9, 2024']"
313,Vince Williams Jr.,MEM,$2301587,$2489752,,,,,$2301587,willivi01,"['2026-27 is a team option', 'Signed 4-yr/$9M contract January 10, 2024']"
314,A.J. Green,MIL,$2301587,,,,,,,greenaj01,"['Signed 3-yr contract July 7, 2023']"
315,Scotty Pippen Jr.,MEM,$2270735,$2461462,$2789215,,,,$2270735,pippesc02,"['Signed 4-yr/$10M contract October 16, 2024']"
316,JD Davison,BOS,$2270735,,,,,,$2270735,davisjd01,"['Waived July 24, 2025', 'Option exercised June 29, 2025', '2025-26 is a team option', 'Signed for remainder of season April 13, 2025']"
317,A.J. Lawson,TOR,$2270735,,,,,,,lawsoaj01,"['2025-26 is a team option', 'Signed for remainder of season April 12, 2025']"
318,Brandon Williams,DAL,$2270735,,,,,,,willibr03,"['2025-26 is a team option', 'Signed for remainder of season April 10, 2025']"
319,Moussa Diabaté,CHO,$2270735,$2461462,,,,,,diabamo01,"['2025-26 and 2026-27 are not guaranteed', 'Signed 3-yr/$5', '5M contract February 8, 2025']"
320,Rayan Rupert,POR,$2221677,,,,,,$2221677,ruperra01,"['Option exercised June 28, 2025', '2025-26 is a team option', 'Signed 3-yr/$5M contract July 4, 2023']"
321,Ricky Council IV,PHI,$2221677,$2406205,,,,,$2221677,councri01,"['2024-25 and 2025-26 are not guaranteed and 2026-27 is a team option', 'Signed 4-yr/$7', '4M contract April 13, 2024']"
322,GG Jackson II,MEM,$2221677,$2406205,,,,,$2221677,jacksgg01,"['2026-27 is a team option', 'Signed 4-yr/$8', '5M contract February 9, 2024']"
323,Gui Santos,GSW,$2221677,,,,,,$2221677,santogu01,"['option exercised June 29, 2025', '2025-26 is a team option', '2024-25 is non-guaranteed', '2023-24 is partially guaranteed', 'Signed 3-yr minimum contract November 7, 2023']"
324,Jalen Pickett,DEN,$2221677,$2406205,,,,,$2221677,pickeja02,"['2026-27 is a team option', 'Signed 4-yr/$8', '3M rookie scale contract July 6, 2023']"
325,Hunter Tyson,DEN,$2221677,$2406205,,,,,$2221677,tysonhu01,"['2026-27 is a team option', 'Signed 4-yr/$7', '6M contract July 6, 2023']"
326,Julian Phillips,CHI,$2221677,$2406205,,,,,$2221677,phillju01,"['2026-27 is a team option', 'Signed 4-yr/$8M contract July 12, 2023']"
327,Jalen Wilson,BRK,$2221677,,,,,,$2221677,wilsoja03,"['Option exercised June 28, 2025', '2025-26 is a team option', '2024-25 is partially guaranteed', 'Signed 3-year minimum contract March 1, 2024']"
328,Jordan Walsh,BOS,$2221677,$2406205,,,,,$200000,walshjo01,"['2026-27 is a team option', '2025-26 is partially guaranteed', 'Signed 4-yr/$7', '6M contract July 6, 2023']"
329,Duop Reath,POR,$2221677,,,,,,,reathdu01,"['Signed 3-yr/$6M contract February 16, 2024']"
330,Toumani Camara,POR,$2221677,$2406205,,,,,,camarto01,"['Traded from PHO to POR September 27, 2023', 'Signed 4-yr/$7', '6M entry level contract July 3, 2023']"
331,Leonard Miller,MIN,$2221677,$2406205,,,,,,millele01,"['2025-26 and 2026-27 are not guaranteed', 'Signed 4-yr contract July 8, 2023']"
332,Andre Jackson Jr.,MIL,$2221677,$2406205,,,,,,jacksan01,"['Signed 4-yr/$7', '6M contract July 7, 2023']"
333,Trayce Jackson-Davis,GSW,$2221677,$2406205,,,,,,jackstr02,"['2026-27 is a team option', 'Signed 4-yr/$3M contract July 6, 2023']"
334,Craig Porter Jr.,CLE,$2221677,$2406205,,,,,,portecr01,
335,Mouhamed Gueye,ATL,$2221677,$2406205,,,,,,gueyemo02,"['2026-27 is a team option', '2025-26 is not guaranteed', 'Signed 4-yr/$7', '6M contract July 3, 2023']"
336,JaVale McGee,DAL,$2208856,$2208856,$2208856,,,,$6626568,mcgeeja01,"['Waived and contract stretched August 29, 2023', 'Signed 3-yr/$17M contract July 9, 2022']"
337,Tyler Kolek,NYK,$2191897,$2296271,$2486995,,,,$4488168,kolekty01,"['2027-28 is a team option', 'Signed 4-yr/$9M contract July 4, 2024']"
338,Colin Castleton,TOR,$2191897,,,,,,$2191897,castlco01,"['2025-26 is a team option', 'Signed for remainder of season April 13, 2025']"
339,Jaylen Clark,MIN,$2191897,,,,,,$2191897,clarkja02,"['Signed 2-yr contract February 27, 2025']"
340,Tyrese Martin,BRK,$2191897,,,,,,$2191897,martity01,"['Option exercised June 28, 2025', '2025-26 is a team option', 'Signed 2-yr/$2', '8M contract February 20, 2025']"
341,Caleb Houstan,ORL,$2187699,,,,,,,houstca01,"['2025-26 is a team option', '2024-25 is not guaranteed', 'Signed 4-yr/$8', '2M contract July 10, 2022']"
342,Tyler Smith,MIL,$1955377,$2296271,$2486995,,,,$4251648,smithty02,"['2027-28 is a team option', 'Signed 4-yr/$7', '9M contract July 5, 2024']"
343,Johnny Furphy,IND,$1955377,$2296271,$2486995,,,,$4251648,furphjo01,"['2027-28 is a team option', 'Signed 4-yr/$8', '6M contract July 6, 2024']"
344,Jonathan Mogbo,TOR,$1955377,$2296271,,,,,$1955377,mogbojo01,"['2026-27 is a team option', 'Signed 3-yr/$6M contract July 4, 2024']"
345,Jamal Shead,TOR,$1955377,$2296271,,,,,$1955377,sheadja01,"['2026-27 is a team option', 'Signed 3-yr/$6M contract July 4, 2024']"
346,Isaac Jones,SAC,$1955377,,,,,,$1955377,jonesis01,"['Option exercised June 28, 2025', '2025-26 is a team option', 'Signed 2-year minimum contract March 22, 2025']"
347,Oso Ighodaro,PHO,$1955377,$2296271,$2486995,,,,$1955377,ighodos01,"['2027-28 is a team option', '2026-27 is partially guaranteed', 'Signed 4-yr/$7', '9M contract July 4, 2024']"
348,Ariel Hukporti,NYK,$1955377,,,,,,$1955377,hukpoar01,"['Option exercised June 29, 2025', '2025-26 is a team option', 'Signed 2-yr/$5', '7M contract November 5, 2024']"
349,Karlo Matković,NOP,$1955377,$2296271,,,,,$1955377,matkoka01,"['2026-27 is a team option', 'Signed 3-yr/$5', '4M contract July 13, 2024']"
350,Keshad Johnson,MIA,$1955377,,,,,,$1955377,johnske10,"['Option exercised June 24, 2025', '2025-26 is a team option', 'Signed 2-year contract December 26, 2024']"
351,Jaylen Wells,MEM,$1955377,$2296271,$2486995,,,,$1955377,wellsja01,"['2027-28 is a team option', '2026-27 is partially guaranteed', 'Signed 4-yr/$7', '9M contract July 6, 2024']"
352,Bronny James,LAL,$1955377,$2296271,$2486995,,,,$1955377,jamesbr02,"['2027-28 is a team option', 'Signed 4-yr/$7', '9M contract July 2, 2024']"
353,Cam Christie,LAC,$1955377,$2296271,$2486995,,,,$1955377,chrisca02,"['2027-28 is a team option', '2026-27 is not guaranteed', 'Signed 4-yr/$7', '9M contract July 5, 2024']"
354,Quinten Post,GSW,$1955377,,,,,,$1955377,postqu01,"['Option exercised June 29, 2025', '2025-26 is a team option', 'Signed 2-yr/$2', '4M contract February 7, 2025']"
355,Bobi Klintman,DET,$1955377,$2296271,$2486995,,,,$1955377,klintbo01,"['2027-28 is a team option', 'Signed 4-yr/$7', '9M contract July 12, 2024']"
356,Drew Timme,BRK,$1955377,,,,,,$1955377,timmedr01,"['Option exercised June 28, 2025', '2025-26 is a team option', 'Signed 2-year minimum contract March 28, 2025']"
357,Jamison Battle,TOR,$1955377,$2296271,,,,,,battlja01,"['2025-26 and 2026-27 not guaranteed', 'Signed 3-yr/$4', '7M contract February 7, 2025']"
358,Adem Bona,PHI,$1955377,$2296271,$2486995,,,,,bonaad01,"['2027-28 is a team option', 'Signed 4-yr/$8M contract July 21, 2024']"
359,Pelle Larsson,MIA,$1955377,$2296271,,,,,,larsspe01,"['2027-28 is a team option', 'Signed 3-yr/$5', '4M contract']"
360,E.J. Liddell,PHO,$706898,$706898,,,,,$1413796,liddeej01,"['Waived August 27, 2024', 'Traded from ATL to PHO July 29, 2024', 'Traded from NOP to ATL July 6, 2024', '2025-26 is a team option', 'Signed 3-yr/$6', '2M contract July 6, 2023']"
361,Mamadi Diakite,MEM,$464050,$464050,,,,,$928100,diakima01,"['Waived August 27, 2024', 'Traded from BRK to MEM July 19, 2024', 'Traded from NYK to BRK July 6, 2024', 'Signed for remainder of season March 25, 2024']"
362,Ricky Rubio,CLE,$424672,$424672,,,,,$849344,rubiori01,
363,Didi Louzada,POR,$268032,$268032,$268032,$268032,,,$1072128,louzama01,"['Waived August 29, 2022 with stretch provision', 'Traded from NOP to POR February 8, 2022', '2023-24 and 2024-25 are not guaranteed', 'Signed 4-yr/$7', '7M contract August 13, 2021']"
